id,name,state
49-1,ALCESTE ALMEIDA,Roraima
49-2,JÚLIO CABRAL,Roraima
49-3,AVENIR ROSA,Roraima
49-4,FRANCISCO RODRIGUES,Roraima
49-5,JOÃO FAGUNDES,Roraima
49-6,MARCELO LUZ,Roraima
49-7,TERESA JUCÁ,Roraima
49-8,RUBEN BENTO,Roraima
49-9,AROLDO GÓES,Amapá
49-10,ERALDO TRINDADE,Amapá
49-11,FÁTIMA PELAES,Amapá
49-12,GILVAN BORGES,Amapá
49-13,LOURIVAL FREITAS,Amapá
49-14,MURILO PINHEIRO,Amapá
49-15,SÉRGIO BARCELLOS,Amapá
49-16,VALDENOR GUEDES,Amapá
49-17,ALACID NUNES,Pará
49-18,CARLOS KAYATH,Pará
49-19,DOMINGOS JUVENIL,Pará
49-20,GÉRSON PERES,Pará
49-21,GIOVANNI QUEIROZ,Pará
49-22,HERMÍNIO CALVINHO,Pará
49-23,HILÁRIO COIMBRA,Pará
49-25,JOSÉ DIOGO,Pará
49-26,MANOEL RIBEIRO,Pará
49-27,SOCORRO GOMES,Pará
49-28,MARIO MARTINS,Pará
49-29,MARIO CHERMONT,Pará
49-30,NICIAS RIBEIRO,Pará
49-31,OSVALDO MELO,Pará
49-32,PAULO ROCHA,Pará
49-33,PAULO TITAN,Pará
49-34,VALDIR GANZER,Pará
49-35,ÁTILA LINS,Amazonas
49-36,EDUARDO BRAGA,Amazonas
49-37,BETH AZIZE,Amazonas
49-38,EULER RIBEIRO,Amazonas
49-39,ÉZIO FERREIRA,Amazonas
49-40,JOSÉ DUTRA,Amazonas
49-41,PAUDERNEY AVELINO,Amazonas
49-42,RICARDO MORAES,Amazonas
49-43,NOBEL MOURA,Rondonia
49-44,CARLOS CAMURCA,Rondonia
49-45,EDISON FIDELIS,Rondonia
49-46,JABES RABELO,Rondonia
49-47,MAURÍCIO CALIXTO,Rondonia
49-48,PASCOAL NOVAES,Rondonia
49-49,RAQUEL CÂNDIDO,Rondonia
49-50,REDITÁRIO CASSOL,Rondonia
49-51,ADELAIDE NERI,Acre
49-52,CÉLIA MENDES,Acre
49-53,FRANCISCO DIÓGENES,Acre
49-54,JOÃO MAIA,Acre
49-55,JOÃO TOTA,Acre
49-56,RONIVON SANTIAGO,Acre
49-57,ZILÁ BEZERRA,Acre
49-58,MAURI SERGIO,Acre
49-59,DERVAL DE PAIVA,Tocantins
