id,start_date,motion:title,motion:number,motions:document,sources:link:url,motion:legislative_session,motion:result,counts:option:yes,counts:option:no,counts:option:abstain,counts:number_of_people,counts:present
18268,2002-11-28,k výborům Zastupitelstva hlavního města Prahy (F),01/02,71,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18268,1,fail,14,28,20,70,62
18269,2002-11-28,k výborům Zastupitelstva hlavního města Prahy (F),01/02,71,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18269,1,fail,17,41,10,70,68
18270,2002-11-28,k výborům Zastupitelstva hlavního města Prahy (F),01/02,71,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18270,1,fail,27,18,24,70,69
18271,2002-11-28,k výborům Zastupitelstva hlavního města Prahy (F),01/02,71,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18271,1,fail,20,36,11,70,67
18272,2002-11-28,k výborům Zastupitelstva hlavního města Prahy (F),01/02,71,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18272,1,fail,15,35,17,70,67
18273,2002-11-28,k výborům Zastupitelstva hlavního města Prahy (F),01/02,71,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18273,1,fail,22,7,38,70,67
18274,2002-11-28,k výborům Zastupitelstva hlavního města Prahy (F),01/02,71,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18274,1,pass,62,0,7,70,69
18275,2002-11-28,k návrhu na stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hl.m. Prahy (F),01/03,85,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18275,1,fail,21,31,16,70,68
18276,2002-11-28,k návrhu na stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hl.m. Prahy (F),01/03,85,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18276,1,pass,48,17,2,70,67
18277,2002-11-28,k podepisování doložky podle § 43 zákona o hlavním městě Praze (F),01/04,72,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18277,1,pass,62,1,1,70,64
18278,2002-11-28,souhrnné usnesení z jednání ustavujícího zasedání ZHMP ze dne 28.11.2002 (F),01/01,70,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=18281&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=18278,1,pass,56,1,10,70,67
