id,name,given_name,family_name,gender
5766,Miroslav Jeník,Miroslav,Jeník,male
5290,Soňa Marková,Soňa,Marková,female
354,Karel Černý,Karel,Černý,male
5278,Lubomír Suk,Lubomír,Suk,male
5459,Radim Fiala,Radim,Fiala,male
344,Vlastimil Aubrecht,Vlastimil,Aubrecht,male
5774,Ludmila Navrátilová,Ludmila,Navrátilová,female
4,Marek Benda,Marek,Benda,male
5259,Zbyněk Novotný,Zbyněk,Novotný,male
5461,Milada Halíková,Milada,Halíková,female
421,Lucie Talmanová,Lucie,Talmanová,female
5450,Jiří Čepelka,Jiří,Čepelka,male
5406,David Rath,David,Rath,male
5430,Zuzana Domesová,Zuzana,Domesová,female
5490,Pavel Ploc,Pavel,Ploc,male
5478,Zdeněk Lhota,Zdeněk,Lhota,male
5507,Ladislav Šincl,Ladislav,Šincl,male
422,Milan Urban,Milan,Urban,male
5522,Ladislava Zelenková,Ladislava,Zelenková,female
5311,Josef Smýkal,Josef,Smýkal,male
5310,Antonín Seďa,Antonín,Seďa,male
441,Martin Bursík,Martin,Bursík,male
5866,Ladislav Velebný,Ladislav,Velebný,male
4527,Josef Vondruška,Josef,Vondruška,male
5316,Jozef Kubinyi,Jozef,Kubinyi,male
383,Miroslav Krajíček,Miroslav,Krajíček,male
5521,Petr Wolf,Petr,Wolf,male
5498,Daniel Rovan,Daniel,Rovan,male
5472,Jiří Krátký,Jiří,Krátký,male
5314,Ludvík Hovorka,Ludvík,Hovorka,male
5483,Dagmar Molendová,Dagmar,Molendová,female
5468,David Kafka,David,Kafka,male
5492,Jiří Polanský,Jiří,Polanský,male
5519,Pavel Vanoušek,Pavel,Vanoušek,male
5481,Zdeněk Mach,Zdeněk,Mach,male
5255,Miroslav Svoboda,Miroslav,Svoboda,male
5470,Jaroslav Klein,Jaroslav,Klein,male
5407,Pavol Kubuš,Pavol,Kubuš,male
5458,Jaroslav Fiala,Jaroslav,Fiala,male
5455,Vladimír Dlouhý,Vladimír,Dlouhý,male
5446,Pavel Bohatec,Pavel,Bohatec,male
5889,Yvona Kubjátová,Yvona,Kubjátová,female
236,Evžen Snítilý,Evžen,Snítilý,male
5317,Alfréd Michalík,Alfréd,Michalík,male
5508,Václav Šlajs,Václav,Šlajs,male
5768,Vojtěch Adam,Vojtěch,Adam,male
5495,Aleš Rádl,Aleš,Rádl,male
415,Pavel Suchánek,Pavel,Suchánek,male
5321,Kateřina Konečná,Kateřina,Konečná,female
340,Vlasta Parkanová,Vlasta,Parkanová,female
164,Vlastimil Tlustý,Vlastimil,Tlustý,male
303,Vojtěch Filip,Vojtěch,Filip,male
5453,František Dědič,František,Dědič,male
111,Petr Nečas,Petr,Nečas,male
437,Martin Říman,Martin,Říman,male
5513,Jeroným Tejc,Jeroným,Tejc,male
5414,Lenka Mazuchová,Lenka,Mazuchová,female
280,Jan Vidím,Jan,Vidím,male
5476,František Laudát,František,Laudát,male
5454,Kosta Dimitrov,Kosta,Dimitrov,male
5475,Jan Látka,Jan,Látka,male
5499,Jana Rybínová,Jana,Rybínová,female
5257,Tomáš Dub,Tomáš,Dub,male
410,Břetislav Petr,Břetislav,Petr,male
5473,Jaroslav Krupka,Jaroslav,Krupka,male
5486,Ivan Ohlídal,Ivan,Ohlídal,male
5322,Miroslav Opálka,Miroslav,Opálka,male
5868,Monika Hašková,Monika,Hašková,female
5272,Václav Votava,Václav,Votava,male
5385,Karel Kratochvíle,Karel,Kratochvíle,male
5479,Ladislav Libý,Ladislav,Libý,male
5488,Daniel Petruška,Daniel,Petruška,male
333,Jan Grůza,Jan,Grůza,male
5285,Tomáš Hasil,Tomáš,Hasil,male
5502,Václav Snopek,Václav,Snopek,male
360,Eva Dundáčková,Eva,Dundáčková,female
5511,Jan Špika,Jan,Špika,male
275,Petr Pleva,Petr,Pleva,male
5487,Jiří Petrů,Jiří,Petrů,male
386,Stanislav Křeček,Stanislav,Křeček,male
5291,Jiří Hanuš,Jiří,Hanuš,male
5279,Jaroslav Krákora,Jaroslav,Krákora,male
5463,Vladimír Hink,Vladimír,Hink,male
5886,Pavel Smetana,Pavel,Smetana,male
5464,Michael Hrbata,Michael,Hrbata,male
5493,Zdeněk Prosek,Zdeněk,Prosek,male
5384,Jiří Paroubek,Jiří,Paroubek,male
5306,Petr Krill,Petr,Krill,male
5268,Miloslava Vostrá,Miloslava,Vostrá,female
5462,Jan Hamáček,Jan,Hamáček,male
5375,Jozef Kochan,Jozef,Kochan,male
67,Jan Klas,Jan,Klas,male
5819,Jan Husák,Jan,Husák,male
5445,Zdeněk Boháč,Zdeněk,Boháč,male
345,Walter Bartoš,Walter,Bartoš,male
5292,Miroslav Váňa,Miroslav,Váňa,male
5883,Ivo Kantor,Ivo,Kantor,male
5284,Jitka Vojtilová,Jitka,Vojtilová,female
5021,Petr Hájek,Petr,Hájek,male
5485,František Novosad,František,Novosad,male
64,Jan Kasal,Jan,Kasal,male
5383,František Bublan,František,Bublan,male
5523,Olga Zubová,Olga,Zubová,female
5313,Vladimír Koníček,Vladimír,Koníček,male
5388,Ladislav Vomáčko,Ladislav,Vomáčko,male
5510,Vladimír Šoltys,Vladimír,Šoltys,male
5282,Josef Šenfeld,Josef,Šenfeld,male
5503,Miloslav Soušek,Miloslav,Soušek,male
5865,Zdeněk Besta,Zdeněk,Besta,male
5888,Klára Slámová,Klára,Slámová,female
237,Bohuslav Sobotka,Bohuslav,Sobotka,male
1296,Petr Gandalovič,Petr,Gandalovič,male
68,Václav Klučka,Václav,Klučka,male
5378,Jan Schwippel,Jan,Schwippel,male
416,Cyril Svoboda,Cyril,Svoboda,male
5771,Irena Kočí,Irena,Kočí,female
305,Miroslav Grebeníček,Miroslav,Grebeníček,male
230,Miloš Melčák,Miloš,Melčák,male
5308,Ladislav Mlčák,Ladislav,Mlčák,male
252,Lubomír Zaorálek,Lubomír,Zaorálek,male
5267,Jiřina Fialová,Jiřina,Fialová,female
5505,Pavel Svoboda,Pavel,Svoboda,male
143,Pavel Severa,Pavel,Severa,male
5482,Marcela Mertinová,Marcela,Mertinová,female
5466,Kateřina Jacques,Kateřina,Jacques,female
5270,Petr Braný,Petr,Braný,male
401,Miroslava Němcová,Miroslava,Němcová,female
5328,Zdeněk Maršíček,Zdeněk,Maršíček,male
5456,Richard Dolejš,Richard,Dolejš,male
