id,name,election_type,state,district,cabecera,curul
62-151,Zamora Morales Fernando,Mayoría Relativa,México,26,Toluca de Lerdo,H-271
62-493,Cantú Garza Ricardo,Representación proporcional,México,5,,D-117
62-84,Carreño Muro Genaro,Mayoría Relativa,Guanajuato,8,Salamanca,H-243
62-229,Quian Alcocer Eduardo Roman,Mayoría Relativa,Quintana Roo,1,Solidaridad,M-469
62-966,Salas López Leticia,Representación proporcional,México,5,,G-208
62-281,Caballero Rosiñol Joaquín,Mayoría Relativa,Veracruz,11,Coatzacoalcos,J-361
62-747,Gutiérrez Coronado Ana María,Mayoría Relativa,Sonora,1,San Luis Río Colorado,F-168
62-154,González Bautista Valentín,Mayoría Relativa,México,29,Nezahualcóyolt,H-275
62-745,Velázquez López Mirna,Mayoría Relativa,Sinaloa,7,Culiacán de Rosales,G-213
62-190,Gutiérrez De la Garza Héctor,Mayoría Relativa,Nuevo León,5,Monterrey,J-352
62-219,Ortiz Mantilla María Isabel,Mayoría Relativa,Puebla,11,Heroica Puebla de Zaragoza,L-417
62-802,Villa Oñate Claudia Rocío,Representación proporcional,Jalisco,1,,I-287
62-748,Enríquez Ramírez Maribel,Mayoría Relativa,Sonora,2,Nogales,A-006
62-969,Saavedra Pérez Nidia,Representación proporcional,México,5,,C-056
62-369,Alonso Raya Agustín Miguel,Representación proporcional,Guanajuato,2,,E-151
62-368,Zavaleta Salgado Ruth,Representación proporcional,Distrito Federal,4,,I-304
62-365,Gómez Tueme Amira Gricelda,Representación proporcional,Tamaulipas,2,,K-396
62-364,Bernal Gutiérrez Marco Antonio,Representación proporcional,Tamaulipas,2,,J-351
62-367,Huerta Rea María de Jesús,Representación proporcional,Nuevo León,2,,M-477
62-366,Cantú Segovia Eloy,Representación proporcional,Nuevo León,2,,K-395
62-361,Araujo de la Torre Elsa Patricia,Representación proporcional,Tamaulipas,2,,K-397
62-360,Mendoza Garza Jorge,Representación proporcional,Nuevo León,2,,H-266
62-363,Cárdenas Cantú Miriam,Representación proporcional,Coahuila,2,,L-426
62-362,Treviño Cantú Javier,Representación proporcional,Nuevo León,2,,M-474
62-25,López Moreno Lourdes Adriana,Mayoría Relativa,Chiapas,1,Palenque,J-342
62-24,Zepeda González Francisco Alberto,Mayoría Relativa,Colima,2,Manzanillo,K-377
