id,start_date,motion:title,motion:legislative_session
62-494,2014-04-23,DECRETO QUE REFORMA LOS PARRAFOS PRIMERO Y CUARTO DEL ARTICULO 63 DE LA LEY GENERAL DE PROTECCION CIVIL (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Segundo Año
62-759,2015-04-29,DECRETO POR EL QUE SE ADICIONA UN PARRAFO SEGUNDO AL ARTICULO 4o. DE LA LEY DEL SERVICIO POSTAL MEXICANO (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Tercer Año
62-493,2014-04-22,DECRETO QUE REFORMA LOS ARTICULOS 3 Y 111 DE LA LEY DE MIGRACION (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Segundo Año
62-594,2014-10-22,DECRETO QUE REFORMA LOS ARTÍCULOS 35 Y 38 DE LA LEY GENERAL PARA LA PREVENCIÓN Y GESTIÓN INTEGRAL DE LOS RESIDUOS (EN LO GENERAL Y EN LO PARTICULAR),Primer Período de Sesiones Ordinarias del Tercer Año
62-492,2014-04-22,"DECRETO QUE REFORMA EL SEGUNDO PÁRRAFO DEL ARTÍCULO 10 Y EL PRIMER PÁRRAFO DEL ARTÍCULO 18, Y ADICIONA LOS ARTÍCULOS 10 BIS Y 10 TER A LA LEY DE LA COMISIÓN NACIONAL DE LOS DERECHOS HUMANOS (EN LO GENERAL Y EN LO PARTICULAR)",Segundo Período de Sesiones Ordinarias del Segundo Año
62-743,2015-04-28,"DECRETO POR EL QUE SE REFORMA EL NUMERAL 1, DEL ARTÍCULO 104 DE LA LEY ORGÁNICA DEL CONGRESO GENERAL DE LOS ESTADOS UNIDOS MEXICANOS (EN LO GENERAL Y EN LO PARTICULAR)",Segundo Período de Sesiones Ordinarias del Tercer Año
62-742,2015-04-28,DECRETO POR EL QUE SE REFORMAN LOS ARTÍCULOS 28 BIS Y 226 DE LA LEY GENERAL DE SALUD (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Tercer Año
62-741,2015-04-23,DECRETO POR EL QUE SE REFORMAN Y ADICIONAN DIVERSAS DISPOSICIONES DE LA LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS(EN LO PARTICULAR LOS ARTICULOS RESERVADOS EN SUS TERMINOS),Segundo Período de Sesiones Ordinarias del Tercer Año
62-747,2015-04-28,"DECRETO POR EL QUE SE REFORMAN LOS ARTÍCULOS 55 DEL CÓDIGO CIVIL FEDERAL, 230 DEL CÓDIGO PENAL FEDERAL Y 389 BIS DE LA LEY GENERAL DE SALUD (EN LO GENERAL Y EN LO PARTICULAR)",Segundo Período de Sesiones Ordinarias del Tercer Año
62-491,2014-04-22,DECRETO QUE REFORMA EL TERCER PARRAFO DEL ARTICULO 13 DE LA LEY DE LAS ORGANIZACIONES GANADERAS (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Segundo Año
62-745,2015-04-28,"DECRETO POR EL QUE SE REFORMA EL ARTÍCULO 35, FRACCIÓN II DE LA LEY FEDERAL DE PROCEDIMIENTOS ADMINISTRATIVOS, Y SE REFORMAN Y ADICIONAN DIVERSAS DISPOSICIONES DE LOS ARTÍCULOS 90 BIS, 91 Y 92 DEL CÓDIGO DE COMERCIO (EN LO GENERAL Y EN LO PARTICULAR)",Segundo Período de Sesiones Ordinarias del Tercer Año
62-744,2015-04-28,DECRETO POR EL QUE SE REFORMA LA FRACCIÓN XI DEL ARTÍCULO 190 DE LA LEY FEDERAL DE TELECOMUNICACIONES Y RADIODIFUSIÓN (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Tercer Año
62-715,2015-04-07,DECRETO POR EL QUE SE REFORMA LA FRACCIÓN III DEL ARTÍCULO 17 DE LA LEY DE LOS DERECHOS DE LAS PERSONAS ADULTAS MAYORES (EN LO GENERAL Y EN LO PARTICULAR),Segundo Período de Sesiones Ordinarias del Tercer Año
