id,name,abbreviation,result:fbih,result:fbih:number,result:rs,result:rs:number,result:seats
1,Stranka demokratske akcije,SDA,27.87,274057,4.88,31658,10
2,Socijaldemokratska partija,SDP,9.45,92906,2.43,15736,3
3,Stranka nezavisnih socijaldemokrata,SNSD,0.59,5842,38.46,249314,6
4,Srpska demokratska stranka,SDS,,,32.64,211603,5
5,Hrvatska demokratska zajednica,HDZ,12.15,119468,0.55,3555,4
6,Hrvatska demokratska zajednica 1990,HDZ1990,4.08,40113,,,1
7,Savez za bolju budućnost,SBB,14.44,142033,,,4
8,Demokratska fronta,DF,15.33,150767,,,5
9,Narodna stranka radom za boljitak,NSRzB,1.31,12927,,,0
10,Demokratski narodni savez,DNS,,,5.72,37072,0
11,Partija demokratskog progresa,PDP,0.02,194,,,1
12,Demokratska narodna zajednica,DNZ,,,,,0
13,Hrvatska stranka prava,HSP,0.56,5475,,,0
14,Stranka za BiH,SBiH,2.61,25677,,,0
15,Bosanska stranka – Mirnes Ajanović,BOSS,0.76,7518,,,0
16,Posavska stranka,PS,,,,,0
17,Socijalistička partija Republike Srpske,SP RS,,,2.89,18732,0
18,Naša stranka,NS,1.11,10913,,,0
