vote_event_id,voter_id,option
26,13,yes
1,13,yes
14,13,no
12,13,yes
2,13,yes
16,13,yes
24,13,no
6,13,no
29,13,yes
19,13,no
3,13,yes
20,13,yes
11,13,yes
27,13,no
18,13,no
7,13,no
13,13,yes
5,13,yes
31,13,no
30,13,yes
17,13,yes
22,13,no
8,13,no
15,13,no
10,13,no
28,13,yes
4,13,yes
32,13,yes
21,13,yes
9,13,no
25,13,yes
23,13,yes
26,14,yes
1,14,no
14,14,yes
12,14,no
2,14,yes
16,14,yes
24,14,yes
6,14,no
29,14,no
19,14,no
3,14,no
20,14,yes
11,14,no
27,14,no
18,14,yes
7,14,no
13,14,no
5,14,yes
31,14,no
30,14,yes
17,14,yes
22,14,no
8,14,no
15,14,yes
10,14,yes
28,14,no
4,14,no
32,14,yes
21,14,yes
9,14,no
25,14,no
23,14,no
26,1,yes
1,1,yes
14,1,yes
12,1,yes
2,1,yes
16,1,yes
24,1,yes
6,1,yes
29,1,no
19,1,no
3,1,no
20,1,yes
11,1,yes
27,1,no
18,1,yes
7,1,no
13,1,yes
5,1,yes
31,1,no
30,1,yes
17,1,yes
22,1,no
8,1,no
15,1,yes
10,1,yes
28,1,no
4,1,no
32,1,no
21,1,no
9,1,no
25,1,no
23,1,yes
26,6,yes
1,6,yes
14,6,yes
12,6,yes
2,6,no
16,6,yes
24,6,yes
6,6,yes
29,6,yes
19,6,yes
3,6,yes
20,6,yes
11,6,yes
27,6,yes
18,6,no
7,6,yes
13,6,yes
5,6,yes
31,6,no
30,6,no
17,6,no
22,6,yes
8,6,no
15,6,no
10,6,yes
28,6,yes
4,6,yes
32,6,yes
21,6,no
9,6,no
25,6,yes
23,6,no
26,4,yes
1,4,yes
14,4,no
12,4,no
2,4,no
16,4,no
24,4,no
6,4,no
29,4,yes
19,4,yes
3,4,yes
20,4,yes
11,4,no
27,4,yes
18,4,no
7,4,yes
13,4,no
5,4,no
31,4,yes
30,4,no
17,4,no
22,4,no
8,4,no
15,4,yes
10,4,no
28,4,yes
4,4,yes
32,4,no
21,4,no
9,4,yes
25,4,no
23,4,no
26,2,yes
1,2,yes
14,2,yes
12,2,yes
2,2,yes
16,2,yes
24,2,yes
6,2,no
29,2,yes
19,2,no
3,2,yes
20,2,yes
11,2,yes
27,2,no
18,2,yes
7,2,yes
13,2,yes
5,2,no
31,2,no
30,2,yes
17,2,yes
22,2,no
8,2,no
15,2,yes
10,2,yes
28,2,yes
4,2,no
32,2,yes
21,2,yes
9,2,yes
25,2,yes
23,2,yes
26,12,no
1,12,yes
14,12,no
12,12,yes
2,12,yes
16,12,yes
24,12,yes
6,12,no
29,12,no
19,12,no
3,12,yes
20,12,no
11,12,no
27,12,no
18,12,no
7,12,yes
13,12,no
5,12,yes
31,12,yes
30,12,no
17,12,yes
22,12,yes
8,12,yes
15,12,no
10,12,yes
28,12,yes
4,12,no
32,12,yes
21,12,yes
9,12,yes
25,12,no
23,12,no
26,15,no
1,15,yes
14,15,no
12,15,yes
2,15,yes
16,15,yes
24,15,yes
6,15,no
29,15,no
19,15,yes
3,15,no
20,15,no
11,15,no
27,15,yes
18,15,no
7,15,yes
13,15,no
5,15,yes
31,15,yes
30,15,no
17,15,yes
22,15,yes
8,15,yes
15,15,no
10,15,yes
28,15,yes
4,15,no
32,15,yes
21,15,yes
9,15,yes
25,15,yes
23,15,no
26,3,yes
1,3,yes
14,3,yes
12,3,no
2,3,no
16,3,no
24,3,no
6,3,yes
29,3,yes
19,3,yes
3,3,yes
20,3,yes
11,3,no
27,3,yes
18,3,yes
7,3,yes
13,3,yes
5,3,no
31,3,yes
30,3,yes
17,3,no
22,3,yes
8,3,no
15,3,yes
10,3,no
28,3,no
4,3,yes
32,3,no
21,3,no
9,3,yes
25,3,yes
23,3,yes
26,16,no
