id,motion:name,motion:text,motion:description,order
1,Obnova Lázní Kyselka,Kraj by se měl finančně podílet na obnově budov Lázní Kyselka.,,1
2,Destinační agentura,Karlovarský kraj by měl v následujících letech zrealizovat projekt destinační agentury.,"Karlovarský kraj má připravený projekt destinační agentury, která by měla koordinovat propagaci kraje v ČR i zahraničí. V současnosti čeká na novou podobu zákona o cestovním ruchu, kterému by měl fungování agentury podřídit.",2
3,Poplatky na R6 (zrušení),Kraj by měl usilovat o úplné zrušení poplatku na silnici R6 mezi Karlovými Vary a Chebem. ,"Kraj se v září chystá poslat do parlamentu návrh zákona, který by umožnil jezdit po izolovaných úsecích dálnic a rychlostních silnic s levnějším kuponem, který by stál pětinu ceny dálniční známky. Podle krajské samosprávy by se tím vyřešil problém silnice R6 mezi Karlovými Vary a Chebem. Podle kritiků není tento krok dostatečný.",3
4,Vědecko-technický park,Karlovarský kraj by se měl v příštích letech zaměřit na vybudování vědecko-technického parku.,Karlovarský kraj má možnost v příštích letech využít dotaci pro vybudování vědecko-technického parku. Sám ho ovšem musí kofinancovat.,4
5,Stipendia na učňovských oborech,Kraj by měl věnovat část rozpočtu na stipendia pro žáky učňovských oborů.,"V Karlovarském kraji je relativně vysoká nezaměstnanost, přitom je zde výrazná poptávka po absolventech technických učňovských oborů. Kraj investuje do modernizace a rozšiřování kapacit učilišť, o obory ale není dostatečný zájem.",5
6,Osmiletá gymnázia (snížení),Kapacita osmiletých gymnázií v kraji by se měla snížit.,"Osmiletá gymnázia umožňují nadaným dětem lépe využít jejich potenciál, na druhé straně ale odčerpávají tyto děti ostatním školám, které se tak propadají pod průměr.",6
7,Slučování středních škol,Střední školy by se měly nadále slučovat do větších celků.,Z ekonomických důvodů jsou v posledních letech často spojovány střední školy. I přes potenciál úspor je tento proces ovšem často kritizován jako nekoncepční.,7
8,Srovnávací testy v 9. třídě,Přijímací zkoušky na střední školy by měly být nahrazeny plošnými srovnávacími testy žáků 9. tříd. ,"V posledních letech probíhají reformy, které by měly zaručit srovnatelnost jednotlivých škol v rámci systému (např. státní maturity či srovnávání žáků 5. a 9. tříd). V této souvislosti se nabízí alternativa k současným přijímacím zkouškám na střední školy.",8
9,O počtech žáků SŠ rozhoduje ředitel,"Kraj by měl ředitelům středních škol ponechat pravomoc rozhodnout, kolik žáků přijmou do vyučovaného oboru. ",,9
10,Kritéria financování SŠ,"Střední školy by měly být financovány podle jiných kritérií, než je počet žáků.","Kraje disponují částí prostředků pro financování středních škol, tyto prostředky rozdělují dle vlastních pravidel. Počet žáků ve škole je nejlépe uchopitelným kritériem pro rozdělování peněz. Vedle něj ale existují i další faktory, např. uplatnitelnost absolventů na trhu práce, úspěšnost při přijímacích zkouškách na vysoké školy apod.",10
11,Autobusy namísto vlaků,Kraj by měl zredukovat síť regionálních železnic a zrušené spoje nahradit autobusy.,"Je běžnou praxí, že kraj doplácí dopravcům za provoz ztrátových dopravních spojů. V přepočtu na kilometry ovšem vychází řádově dráž provoz regionálních železnic ve srovnání s autobusy.",11
12,Výběr lékaře v krajských nemocnicích,Pacienti v krajských nemocnicích by měli mít možnost připlatit si za výběr lékaře.,"Karlovarský kraj zřizuje formou akciové společnosti nemocnice v Karlových Varech a v Chebu. Na vůli krajských politiků tak do značné míry závisí, zda krajské nemocnice využijí nově uzákoněnou možnost zpoplatnit výběr lékaře samotným pacientem.",12
13,Rodinné pasy,Karlovarský kraj by se měl zapojit do projektu Rodinné pasy.,"Sedm krajů v ČR se účastní projektu Rodinné pasy. Projekt je financován částečně z fondů EU, částečně samotnými kraji. Deklarovaným cílem je podpora rodin s dětmi formou poskytování slev.",13
14,Nespolupráce s KSČM,"Vadila by mi spolupráce ""mojí"" strany s KSČM v Radě kraje (""krajské vládě"")",,14
15,Stromořadí,Stromořadí podél silnic by měla být zachována.,V posledních letech výrazně ubývá stromořadí podél silnic. Správci komunikací je kácí z důvodu zvyšování bezpečnosti dopravní infrastruktury.,15
16,Hromadná doprava vs. automobilová,Investice do hromadné dopravy by měly mít přednost před rozvojem infrastruktury pro osobní automobilovou dopravu. ,"Osobní automobilová doprava je dnes naprosto běžná, v ČR připadá jeden osobní automobil zhruba na 2,5 člověka. Přesto jsou ale s tímto fenoménem spojeny různé negativní dopady. Stále častěji se proto mluví o podpoře hromadné dopravy.",16
17,Dotace pro NGO - romská integrace,Kraj by měl dotovat neziskové organizace působící v oblasti integrace romské menšiny.,"Soužití majority s romskou menšinou se stává třaskavým tématem. Část veřejnosti zaujímá stále nekompromisnější postoj. Proti tomu je argument, že investicemi do sociálně vyloučených lokalit se zmenšují problémy v budoucnu.",17
18,Romští asistenti,Kraj by měl zvyšovat počet romských asistentů na školách na svém území.,,18
