vote_event_id,voter_id,option,explanation
1,4,yes,"Změna pro Liberec návrhy na omezení provozu hracích automatů předkládala opakovaně od prosince 2011 v různých variantách (zákaz v okolí škol a veřejných budov, úplný zákaz), ale ani jedna z variant nezískala potřebný počet hlasů. V dalším volebním období chceme prosazovat úplný zákaz herních automatů na území Liberce, protože jde o nejškodlivější formu hazardu."
10,4,no,"Lesní koupaliště je možné obnovit s relativně nízkými náklady na plochu pro koupání v přírodě. Na revitalizaci Lesního koupaliště mohly být v minulých letech použity peníze z fondů EU, z nepochopitelných důvodů se však Lesní koupaliště nikdy nedostalo na seznam priorit. A to přesto, že nakonec bude Liberec vracet desítky milionů korun, které nestihl vyčerpat. Obnova lesního koupaliště by měla být jednou z priorit. V zázemí Lesního koupaliště ale může vzniknout i prostor pro vznik ekocentra, díky kterému by prostor Lesního koupaliště ožíval nejen v létě. Vedle Lesního koupaliště by se mělo město zaměřit na zlepšení podmínek i v dalších místech využívaných k rekreaci a ke koupání, jako je např. přehrada nebo rybník Tajch."
11,4,yes,Větší podíl cyklistické dopravy by přispěl k odlehčení městského centra zahlceného auty.
12,4,yes,"Město nemá prakticky žádnou možnost ovlivňovat a využívat Arénu, kterou přitom postavilo a kterou splácí zhruba 50 miliony každý rok. Město se navíc ve smlouvě o provozování areálu zavázalo hradit v něm další investice, aniž by o nich mohlo rozhodovat. Je zřejmé, že takto nastavená smlouva by nemohla vzniknout, kdyby vedení města nešlo na ruku Syneru. Současný stav je pro město nevýhodný a město by mělo udělat všechno proto, aby nerovnoprávný vztah narovnalo."
13,4,yes,"Tato smlouva je pro město a pro dopravní podnik nevýhodná, podle našich odhadů na ní proděláváme až 5 Kč na každém kilometru, který místo dopravního podniku obslouží firma Busline. Dopravní podnik přitom nemá prakticky žádné možnosti cenu ovlivnit. Přesto vedení města i vedení dopravního podniku v minulých letech jakékoliv změně v dopravním podniku bránily. Smlouva se společností Busline je jedním z důvodů, proč máme jednu z nejdražších MHD v Česku."
14,4,yes,"Změna pro Liberec prosazuje důslednou kontrolu již uzavřených smluv a není důvod, aby se tato kontrola vyhnula právě parkovacímu systému. Na druhou stranu parkovací systém již dnes pro město spravují Technické služby města Liberece, které spolupracují s firmou City parking group, s.r.o. Tato firma funguje i v desítkách dalších měst. Nemáme informace o tom, že by právě tato smlouva byla příčinou vysokých cen parkovného v Liberci. V minulých letech navíc došlo ke změně práce Městské policie, která již nepenalizuje řidiče za krátká překročení doby, na kterou bylo parkování předplaceno."
15,4,yes,"Transparentní účet bývá považovaný za důležitý krok směrem k transparentnosti, domníváme se ovšem, že existují jiné významnější nástroje: rozklikávací rozpočet do úrovně jednotlivých faktur, zveřejňování informací na principu otevřených dat, která umožňují další analýzu apod. Vedle zveřejňování je také potřeba změnit způsob vykazování dat o hospodaření města, aby nedocházelo ke skrývání zadlužení, jako tomu bylo v minulosti. Za zásadní považujeme sjednocení standardů transparentnosti mezi městem a městskými společnostmi.  Pro zavedení transparentního účtu bude potřeba vyřešit také případná rizika zveřejňování citlivých informací týkající se především plateb občanů městu a města občanům (odpady, nájmy, daně, poplatky atp.)."
2,4,yes,"Nelze řídit město, aniž znám potřeby občanů a názory na jeho rozvoj"
3,4,no,"Změna pro Liberec byla proti prodeji a uspořádala referendum, kde se proti prodeji vyslovilo 96% hlasujících. Zastáváme názor, že prodej městského majetku nemá být motivovaný jen snahou jednorázově získat prostředky do rozpočtu. TSML mohou městu v budoucnu vydělávat stejně jako tomu bylo dříve, než z TSML byly vyvedeny lukrativní činnosti (svoz odpadů a správa veřejného osvětlení) a než byli do vedení společnosti dosazeni lidé, jejichž jedinou kvalifikací bylo členství v ČSSD."
4,4,yes,"Změna pro Liberec proto v roce 2013 iniciovala místní referendum k prodeji strategického majetku města, a to letiště, Technických služeb a nemovitostí uvedených na seznamu majetku vyřazeného z privatizace. Tento majetek se vedení města (ČSSD, Liberec občanům – dnes SLK, VV – dnes Nový směr, USZ – dnes Pro sport a zdraví) s podporou ODS pokoušelo prodat, přestože v programu nic takového neměli."
