id,name,abbreviation,votes
8,NEZÁVISLÍ,Nezávislí,yes
10,Ostravak,Ostravak,yes
18,ZMĚNA PRO OSTRAVU,Změna,yes
9,Občanská demokratická strana,ODS,yes
7,LEV 21 - Národní socialisté,LEV 21,yes
13,Strana Práv Občanů,SPO,yes
6,Křesťanská a demokratická unie - Československá strana lidová,KDU-ČSL,yes
2,Česká strana sociálně demokratická,ČSSD,yes
4,Jsme Ostrava - koalice Strany zelených a Pirátů,Jsme Ostrava,yes
14,Strana svobodných občanů,Svobodní,yes
3,Dělnická strana sociální spravedlnosti,DSSS,yes
16,Toryové,Toryové,yes
17,Úsvit přímé demokracie,Úsvit,yes
1,ANO 2011,ANO,yes
5,Komunistická strana Čech a Moravy,KSČM,yes
11,Ostravské fórum,O fórum,yes
15,TOP 09,TOP 09,yes
12,Romská demokratická strana,RDS,no
