id,name,give_name,family_name,group_id,constituency_id,votes
4,Chudoba Lubomír,Chudoba,Lubomír,kdu-csl,22,yes
3,Choděra Oldřich,Choděra,Oldřich,ods,22,yes
10,Dušková Jana,Dušková,Jana,ano,22,yes
6,Neubert Milan,Neubert,Milan,kscm,22,yes
1,Cabrnochová Ivana,Cabrnochová,Ivana,zeleni,22,yes
5,Sabongui Renata,Sabongui,Renata,top-09,22,yes
2,Payne Jiří,Payne,Jiří,svobodni,22,yes
7,Jánský Pavel,Jánský,Pavel,cs,22,no
8,Panenka Antonín,Panenka,Antonín,npp10-hpld,22,no
9,Kos Miroslav,Kos,Miroslav,snop13,22,no
