vote_event_id,voter_id,option
,1,yes
1,1,yes
10,1,yes
11,1,yes
12,1,yes
13,1,yes
14,1,yes
15,1,yes
16,1,yes
17,1,yes
18,1,yes
19,1,abstain
2,1,yes
20,1,abstain
3,1,no
4,1,no
5,1,yes
7,1,no
8,1,no
9,1,no
,2,yes
1,2,abstain
10,2,yes
11,2,abstain
12,2,no
13,2,no
14,2,yes
15,2,yes
16,2,yes
17,2,yes
18,2,yes
19,2,no
2,2,yes
20,2,no
3,2,no
4,2,no
5,2,no
7,2,no
8,2,no
9,2,no
,3,yes
1,3,no
10,3,yes
11,3,yes
12,3,yes
13,3,yes
14,3,yes
15,3,yes
16,3,yes
17,3,no
18,3,yes
19,3,abstain
2,3,no
20,3,abstain
3,3,no
4,3,no
5,3,no
7,3,no
8,3,yes
9,3,yes
,4,yes
1,4,no
10,4,yes
11,4,yes
12,4,yes
13,4,yes
14,4,yes
15,4,yes
16,4,abstain
17,4,no
18,4,abstain
19,4,yes
2,4,yes
20,4,yes
3,4,no
4,4,no
5,4,no
7,4,no
8,4,no
9,4,yes
,5,yes
1,5,no
10,5,yes
11,5,yes
12,5,yes
13,5,no
14,5,yes
15,5,yes
16,5,yes
17,5,yes
18,5,yes
19,5,yes
2,5,yes
20,5,no
3,5,no
4,5,yes
5,5,yes
7,5,yes
8,5,yes
9,5,yes
,6,yes
1,6,yes
10,6,yes
11,6,no
12,6,no
13,6,no
14,6,yes
15,6,yes
16,6,no
17,6,yes
18,6,no
19,6,no
2,6,no
20,6,no
3,6,no
4,6,no
5,6,no
7,6,no
8,6,yes
9,6,no
,7,yes
1,7,no
10,7,yes
11,7,yes
12,7,yes
13,7,yes
14,7,yes
15,7,yes
16,7,yes
17,7,yes
18,7,yes
19,7,yes
2,7,no
20,7,abstain
3,7,no
4,7,no
5,7,yes
7,7,no
8,7,yes
9,7,yes
,8,yes
1,8,no
10,8,yes
11,8,no
12,8,no
13,8,yes
14,8,yes
15,8,yes
16,8,no
17,8,yes
18,8,yes
19,8,yes
2,8,no
20,8,no
3,8,no
4,8,yes
5,8,yes
7,8,yes
8,8,yes
9,8,no
,9,yes
1,9,yes
10,9,yes
11,9,no
12,9,no
13,9,no
14,9,no
15,9,no
16,9,no
17,9,yes
18,9,no
19,9,yes
2,9,no
20,9,yes
3,9,no
4,9,no
5,9,no
7,9,no
8,9,yes
9,9,yes
,10,yes
1,10,yes
10,10,abstain
11,10,no
12,10,yes
13,10,yes
14,10,yes
15,10,yes
16,10,no
17,10,yes
18,10,yes
19,10,abstain
2,10,yes
20,10,yes
3,10,no
4,10,no
5,10,no
7,10,no
8,10,no
9,10,no
