id,order,motion:text:en,motion:name:en,motion:description:en,motion:text,motion:name,motion:description
1,1,There should be a stronger common EU law on data protection.,Data protection,,Erősebb adatvédelmi szabályozásra lenne szükség az EU-ban.,Adatvédelem,"A személyes adatok közé tartoznak például az egészségügyi adatok, a genetikai minták, a gazdasági adatok, a telefonhívások vagy az internetböngészési adatok is. Ezek az adatok politikai vagy üzleti célokra egyaránt használhatók."
2,2,The EU should promote the introduction of a minimum wage linked to the average salary in each member state.,Minimum wage,,"Az Uniónak szorgalmaznia kellene, hogy minden tagállamban az átlagfizetéshez kötött minimálbért vezessenek be.",Minimálbér,"Az átlagos minimálbér az EU tagállamaiban körülbelül az átlagbér 40 százaléknak felel meg. Arányaiban a legalacsonyabb Csehországban (32%), a legmagasabb pedig Szlovéniában és Görögországban (50%) - Magyarországon 44%-os a minimálbér átlagbérhez viszonyított aránya."
3,3,The European Parliament should have the power to introduce laws without asking the European Commission.,Legislation,,"Az Európai Parlament kezdeményezhessen önállóan is jogszabályt, az Európai Bizottság nélkül.",Jogalkotás,"Az Európai Parlament - szemben a nemzeti parlamentekkel - nem nyújthat be törvényjavaslatot az Európai Bizottság jóváhagyása nélkül. A javaslat támogatói szerint ennek megszüntetése az európai demokrácia fejlesztéséhez járulna hozzá, míg ellenzői a nemzeti szuverenitást, a nemzeti parlamentek önállóságát féltik."
4,4,The EU should set stricter targets for CO2 reduction.,CO2 Emission,,Az EU-nak szigorúbb széndioxid-plafonokat kellene bevezetni a kibocsájtás csökkentése érdekében.,CO2 kibocsájtás,"Az Európai Unióban érvényes szabályok a széndioxid-kibocsájtás mértékét szabályozzák a klímaváltozás visszaszorítása érdekében. Egyesek szerint további szigorításokra van szükség, mások szerint a hasonló szabályok növelik az energiaárakat."
5,5,EU member states should not be allowed to subsidise nuclear power.,Nuclear Energy,,Az EU tagállamainak meg kellene tiltani az atomenergia állami támogatását.,Atomenergia,Az atomenergia támogatói a fűtőanyag-felhasználás hatékonyságával és (például a szén- vagy gázfűtésű erőművekkel szemben) az alacsony CO2-kibocsájtással érvelnek. Az ellenzők szerint az atomenergia használata nem kifizetődő és magas kockázattal jár.
6,6,Growing genetically-modified crops should be allowed throughout the European Union.,GMOs,,A génmódosított növények termesztését engedélyezni kellene az EU tagállamaiban.,GMO,"Az EU jelenleg szigorúan korlátozza a génmódosított növények termesztését. A GMO-növények természtésének támogatói szerint az ilyen növények ellenállóbbak a különböző betegségekkel szemben, ezért nem igényelnek vegyi kezelést. A GMO ellenzői a lehetséges egészségügyi kockázatok és környezeti károk miatt aggódnak."
7,7,Import taxes on agricultural products from developing countries should be lowered.,Custom duties,,A fejlődő országokból származó mezőgazdasági termékekre kivetett vámokat csökkenteni kellene Európában.,Vámok,"A különböző vámok és importadók támogatói szerint az ilyen típusú adók megvédik az uniós tagállamok gazdaságát és piacát a fejlődő országok olcsó mezőgazdasági termékeitől. Ellenzői szerint a különböző vámok korlátozzák az elmaradottabb országok fejlődését, hiszen a fejletlenebb országok legfőbb kiviteli cikkei éppen a mezőgazdasági termékek - ráadásul az importadók növelhetik az élelmiszerek árát is."
8,8,The President of the European Commission should be elected by citizens of the EU in direct elections.,President of the Commission,,Az Európai Bizottság elnökét közvetlenül kellene megválasztani.,Bizottság elnökének megválasztása,"Az Európai Bizottság elnökének közvetlen megválasztását támogatók növelnék az Uniós intézmények legitimációját. Az ellenzők azzal érvelnek, hogy ez nem old meg semmilyen valós problémát, és nem erősítené az unióba vetett bizalmat."
9,9,A minimum corporation tax rate should be introduced throughout the EU.,Corporate minimum tax,,Be kellene vezetni egy minden tagállamra kötelező társaságiadó-minimumot az Európai Unióban.,Társasági adó minimum,"A társasági adó szintje az unión belül 10-35 % között mozog. Az EU-ban egységesen bevezetendő, minimális mértékű társasági adó támogatói szerint a különbségek az EU-n belüli adóparadicsomok kialakulásához vezettek (pl. Ciprus), és a cégek az adókat nem abban az országban fizetik meg, ahol valójában profitot termelnek. Az ellenzők szerint az adópolitika az országok közötti egészséges verseny része."
10,10,There should be less financial assistance to poorer regions within the EU.,Domestic supports,,Az Uniónak kevesebb támogatást kellene adnia a szegényebb tagállamok számára.,Belső támogatások,Az EU költségvetésének majdnem egyharmada megy el a régiók támogatására. Ennek fő célja a gazdaságilag fejletlenebb térségek támogatása az EU-n belül. A budapesti régiót kivéve egész Magyarország ide tartozik.
11,11,The European Union should not accept any new member states.,EU enlargement,,Nem szabadna újabb tagállamokat felvenni az Európai Unióba.,EU bővítés,"Jelenleg hivatalosan Montenegró, Izland, Macedónia, Szerbia és Törökország jelölt az EU-tagságra."
12,12,The EU should introduce a tax on financial transactions.,Tax of financial transactions,,Szükség van pénzügyi tranzakciós adóra az EU-ban.,Pénzügyi tranzakciós adó,"A pénzügyi tranzakciós adó (kb. 0,01-0,1 %) támogatói szerint egy ilyen adónem képes lehet megelőzni a pénzügyi spekulációkat. Az ellenzők azzal érvelnek, hogy ez a módszer csak világszerte alkalmazva lehet sikeres, és az unión belüli bevezetéssel csak azt érjük el, hogy megnövekszik a cégek EU-n kívüli tranzakciók száma."
13,13,EU member states should create a European army.,European army,,Közös európai hadsereg felállítására van szükség.,Európai hadsereg,"Jelenleg az EU nem rendelkezik saját hadsereggel, csak harccsoportokkal. A közös hadsereg létrehozásának támogató szerint a hadsereg erősítené az EU helyzetét nemzetközi szinten, és hozzájárulhatna a konfliktusok feloldásához. Az ellenzők úgy látják, a honvédelem az egyes tagországok feladata."
14,14,The European Parliament should be able to sack individual commissioners.,Dismissal of commissioners,,"Az Európai Parlamentnek meg kellene adni a jogot, hogy uniós biztosokat felmenthessen a hivatalából.",EU biztosok felmentése,"Az Európai Bizottság tagjait a tagállamok kormányai nevezik ki. Az Európai Bizottságot kinevezését pedig az Európai Parlament hagyja jóvá. A Bizottság tagjait kizárólag az Európai Parlament bizalmatlansági indítványa alapján lehet visszahívni, míg egyes képviselőkkel ugyanezt nem lehet megtenni."
15,15,More foreign policy areas should be agreed at an EU level.,Common Foreign Polcy,,"Még több külpolitikai kérdésben kellene dönteni közösségi, és nem tagállami szinten.",Közös külpolitika,"Az EU közösségi szinten meghatározott kül- és biztonságpolitikájának céljai elvben kötelezőek a tagállamok részére, de az EU-s jog jelenleg nem tartalmaz semmilyen szankciót e kötelezettség megsértése esetén."
