vote_event_id,voter_id,option
133,1,no
108,1,no
146,1,no
126,1,no
135,1,abstain
101,1,no
114,1,yes
150,1,no
132,1,yes
115,1,abstain
143,1,no
116,1,no
102,1,yes
139,1,yes
136,1,no
131,1,no
103,1,no
128,1,abstain
105,1,yes
138,1,no
140,1,yes
112,1,yes
144,1,abstain
122,1,no
134,1,no
123,1,no
145,1,no
109,1,no
106,1,no
117,1,no
119,1,abstain
137,1,no
142,1,yes
110,1,yes
113,1,yes
104,1,no
118,1,no
141,1,no
111,1,no
149,1,abstain
129,1,abstain
120,1,no
107,1,abstain
124,1,no
127,1,yes
147,1,yes
148,1,yes
125,1,yes
121,1,no
130,1,yes
133,2,yes
108,2,yes
146,2,no
126,2,yes
135,2,yes
101,2,abstain
114,2,yes
150,2,no
132,2,yes
115,2,abstain
143,2,yes
116,2,abstain
102,2,no
139,2,yes
136,2,yes
131,2,yes
103,2,abstain
128,2,no
105,2,no
138,2,yes
140,2,yes
112,2,yes
144,2,abstain
122,2,no
134,2,abstain
123,2,no
145,2,abstain
109,2,abstain
106,2,yes
117,2,no
119,2,abstain
137,2,yes
142,2,no
110,2,no
113,2,no
104,2,yes
118,2,no
141,2,abstain
111,2,no
149,2,abstain
129,2,yes
120,2,yes
107,2,yes
124,2,yes
127,2,no
147,2,yes
148,2,yes
125,2,no
121,2,yes
130,2,yes
133,3,no
108,3,no
146,3,no
126,3,no
135,3,yes
101,3,no
114,3,no
150,3,yes
132,3,yes
115,3,no
143,3,yes
116,3,no
102,3,yes
139,3,no
136,3,no
131,3,no
103,3,no
128,3,yes
105,3,yes
138,3,no
140,3,yes
112,3,yes
144,3,yes
122,3,no
134,3,no
123,3,yes
145,3,yes
109,3,yes
106,3,no
117,3,no
119,3,yes
137,3,no
142,3,yes
110,3,yes
113,3,yes
104,3,no
118,3,no
141,3,no
111,3,no
149,3,yes
129,3,yes
120,3,no
107,3,no
124,3,no
127,3,no
147,3,yes
148,3,no
125,3,yes
121,3,no
130,3,no
133,4,yes
108,4,yes
146,4,no
126,4,yes
135,4,abstain
101,4,no
114,4,yes
150,4,no
132,4,no
115,4,yes
143,4,no
116,4,no
102,4,yes
139,4,no
136,4,yes
131,4,abstain
103,4,no
128,4,no
105,4,yes
138,4,yes
140,4,yes
112,4,no
144,4,no
122,4,yes
134,4,no
123,4,no
145,4,no
109,4,no
106,4,yes
117,4,yes
119,4,no
137,4,abstain
142,4,no
110,4,no
113,4,no
104,4,yes
118,4,no
141,4,no
111,4,yes
149,4,abstain
129,4,yes
120,4,yes
107,4,yes
124,4,yes
127,4,no
147,4,yes
148,4,yes
125,4,yes
121,4,yes
130,4,yes
133,5,no
108,5,no
146,5,abstain
126,5,no
135,5,yes
101,5,no
114,5,no
150,5,yes
132,5,yes
115,5,no
143,5,yes
116,5,no
102,5,yes
139,5,yes
136,5,no
131,5,no
103,5,no
128,5,yes
105,5,yes
138,5,no
140,5,yes
112,5,yes
144,5,yes
122,5,no
134,5,no
123,5,yes
145,5,abstain
109,5,yes
106,5,no
117,5,no
119,5,yes
137,5,no
142,5,abstain
110,5,abstain
113,5,yes
104,5,no
118,5,abstain
141,5,no
111,5,no
149,5,no
129,5,yes
120,5,no
107,5,no
124,5,no
127,5,yes
147,5,yes
148,5,no
125,5,yes
121,5,no
130,5,abstain
133,6,no
108,6,no
146,6,abstain
126,6,no
135,6,yes
101,6,no
114,6,no
150,6,yes
132,6,yes
115,6,no
143,6,yes
116,6,no
102,6,yes
139,6,yes
136,6,no
131,6,no
103,6,no
128,6,yes
105,6,yes
138,6,yes
140,6,yes
112,6,yes
144,6,yes
122,6,no
134,6,no
123,6,yes
145,6,yes
109,6,yes
106,6,no
117,6,no
119,6,abstain
137,6,no
142,6,abstain
110,6,yes
113,6,abstain
104,6,yes
118,6,abstain
141,6,no
111,6,no
149,6,abstain
129,6,yes
120,6,yes
107,6,no
124,6,no
127,6,yes
147,6,yes
148,6,no
125,6,yes
121,6,no
130,6,no
133,7,yes
108,7,yes
146,7,no
126,7,yes
135,7,abstain
101,7,no
114,7,yes
150,7,no
132,7,no
115,7,yes
143,7,no
116,7,no
102,7,yes
139,7,no
136,7,yes
131,7,no
103,7,yes
128,7,no
105,7,no
138,7,yes
140,7,no
112,7,no
144,7,no
122,7,yes
134,7,no
123,7,no
145,7,no
109,7,no
106,7,yes
117,7,yes
119,7,yes
137,7,yes
142,7,no
110,7,no
113,7,no
104,7,yes
118,7,no
141,7,no
111,7,yes
149,7,yes
129,7,yes
120,7,yes
107,7,yes
124,7,yes
127,7,no
147,7,no
148,7,yes
125,7,yes
121,7,yes
130,7,yes
133,8,no
108,8,no
146,8,abstain
126,8,no
135,8,yes
101,8,no
114,8,no
150,8,abstain
132,8,yes
115,8,no
143,8,abstain
116,8,no
102,8,yes
139,8,yes
136,8,no
131,8,no
103,8,no
128,8,abstain
105,8,yes
138,8,no
140,8,abstain
112,8,yes
144,8,yes
122,8,no
134,8,no
123,8,abstain
145,8,no
109,8,yes
106,8,no
117,8,no
119,8,no
137,8,no
142,8,abstain
110,8,abstain
113,8,yes
104,8,yes
118,8,yes
141,8,no
111,8,no
149,8,yes
129,8,yes
120,8,yes
107,8,no
124,8,no
