vote_event_id,voter_id,option,explanation
6078,5976,no,Het CDA vindt dat onze democratie goed werkt. Kiezers zijn prima in staat om te kiezen voor een partij en daarmee een lijsttrekker. Door invoering van een gekozen premier gaat het alleen nog maar over de 'poppetjes'. Het CDA vindt dit geen goed idee. Bovendien is bij het CDA nu ook duidelijk wie kandidaat premier is.
6135,5976,yes,"Kinderen zijn de toekomst. Daarom kiest het CDA voor het gezin! Opvoeden is een belangrijke taak en ouders verdienen daarbij steun van de overheid. Het CDA vindt dat de kinderbijslag moet worden verhoogd, zodat gezinnen de hoge kosten beter kunnen betalen. Ouders krijgen dan meer zekerheid en vrijheid om zelf te keuzes te maken in de opvoeding."
6136,5976,yes,"Het CDA vindt dat de sterkste schouders de zwaarste lasten mogen dragen. Wie meer verdient betaalt via de loonbelasting en door minder zorgtoeslag ook meer mee voor de zorg. De PvdA wil de zorgpremie helemaal inkomensafhankelijk maken, in plaats van de huidige nominale premie met zorgtoeslag. Hierdoor gaan middeninkomens er honderden euro's per jaar op achteruit. Als CDA zijn wij dáár tegen."
6137,5976,yes,Ouders die werken en opvoeden moeten kunnen rekenen op goede opvang voor hun kinderen. Het CDA vindt toegankelijke en betaalbare kinderopvang daarom heel belangrijk. Een bijdrage naar draagkracht mag hierbij van de ouders best worden verwacht.
6113,5976,no,"Het CDA vindt dat iedereen recht heeft op goede zorg. Wie thuiszorg nodig heeft moet dit krijgen. Voor wie dat kan betalen, mag best een eigen bijdrage worden verwacht. Maar gemeenten krijgen ook de mogelijkheid om geen bijdrage te vragen wanneer dat nodig is."
6139,5976,no,"Het afschaffen van de bijstand voor jongeren is niet sociaal. Het CDA vindt dat iedereen die tijdelijk zonder werk zit, recht heeft op bijstand. Wel wil het CDA dat jongeren óf leren óf werken. Want schoolverlaters zonder diploma lopen anders het risico dat zij nooit meer aan de slag komen. Het CDA wil dit voorkomen. Jongeren die niet willen werken mogen door gemeenten worden gekort op hun uitkering en zo gestimuleerd om een baan te zoeken."
6111,5976,no,"Het CDA wil mensen zekerheid bieden. Ouderen hebben hun hele leven gespaard voor een zeker pensioen. Het is niet eerlijk om dit pensioen vervolgens af te pakken. Door het invoeren van een bejaardenbelasting voor ouderen met een klein pensioen van 15.000 euro, zoals de PvdA wil, gaat de meerderheid van de ouderen voor een tweede keer belasting betalen over hun opgebouwde pensioen. Het CDA is hier fel op tegen."
6141,5976,no,"Het CDA wil niet dat het makkelijker wordt om mensen op straat te zetten. Wel is het goed wanneer het ontslagrecht wordt gemoderniseerd, waarbij meer wordt gekeken naar de investeringen die zijn gedaan in scholing van een werknemer. De beste gouden handdruk is een scholingshanddruk."
6088,5976,no,"Het CDA is tegen het legaliseren van drugs. De enige die daar beter van worden zijn de drugsdealers. Bovendien zijn ook softdrugs verslavend en maken veel ouders zich daarom terecht zorgen over hun kinderen. Drugsl moet dan ook niet normaal worden, want dat is het niet. Drugs en coffeeshops horen ook niet thuis in de buurt van scholen. Als drugs legaal worden, dan is dat echter niet te voorkomen."
6092,5976,yes,"Terroristen hebben als doel om zoveel mogelijk slachtoffers te maken. Het CDA vindt dat zij moeten worden gestopt en dat knellende privacyregels daarbij niet in de weg mogen staan. De gewone burger heeft van het verminderen van te strakke privacyregels geen last, maar terroristen wel. De regels moeten er zijn voor gewone burgers en niet om terroristen de hand boven het hoofd te houden."
