id,name,abbreviation,name:en,result,result:number
17789,Christen-Democratisch Appel,CDA,Christian Democratic Appeal,13.61,1281886
17795,Partij van de Arbeid,PvdA,Labour Party,19.63,1848805
17796,Socialistische Partij,SP,Socialist Party,9.82,924696
17797,Volkspartij voor Vrijheid en Democratie,VVD,People's Party for Freedom and Democracy,20.49,1929575
17798,Groep Wilders / Partij voor de Vrijheid,PVV,Party for Freedom,15.45,1454493
17799,GroenLinks,GroenLinks,GreenLeft,6.67,628096
17800,ChristenUnie,ChristenUnie,ChristianUnion,3.24,305094
17801,Democraten 66,D66,Democrats 66,6.95,654167
17802,Partij voor de Dieren,Partij voor de Dieren,Party for the Animals,1.30,122317
17803,Staatkundig Gereformeerde Partij,SGP,Reformed Political Party,1.74,163581
17805,Nieuw Nederland,Nieuw Nederland,New Netherlands,0.02,2010
17804,Trots op Nederland,Trots op Nederland,Proud of the Netherlands,0.56,52937
17806,Partij voor Mens en Spirit,Partij voor Mens en Spirit,Party for People and Spirit,0.38,36196
17807,Heel NL,Heel NL,Heel NL,0.01,1255
17882,Partij één,Partij één,Party One,0.02,2042
17884,Lijst 17,Lijst 17,List 17,0.08,7456
17881,Piratenpartij,Piratenpartij,Pirate Party,0.11,10471
