id,motion:name,motion:text,motion:description,order,motion:name:hu,motion:text:hu,motion:description:hu
1,Ochrana údajov,Mali by byť sprísnené spoločné právne predpisy EÚ na ochranu údajov.,"Osobné údaje sú napr. údaje o zdravotnom stave, genetické vzorky alebo finančné údaje, informácie o obchodných transakciách alebo o vykonaných telefónických hovoroch a navštívených webových stránkach. Tieto údaje firmy používajú pre svoj ​​biznis alebo ich zhromažďuje polícia či tajné služby.",3,Adatvédelem,Erősebb adatvédelmi szabályozásra lenne szükség az EU-ban.,"A személyes adatok közé tartoznak például az egészségügyi adatok, a genetikai minták, a gazdasági adatok, a telefonhívások vagy az internetböngészési adatok is. Ezek az adatok politikai vagy üzleti célokra egyaránt használhatók."
2,Minimálna mzda,"V EÚ by sa mala zaviesť minimálna mzda, naviazaná na priemerný plat v jednotlivých štátoch EÚ.","Minimálna mzda je v EÚ v priemere zhruba 40% priemernej mzdy v danej krajine (najmenej 32% v SR, najviac 50% v Slovinsku a Grécku). V niektorých krajinách (napr. Švédsko) je minimálna mzda stanovená skôr sektorovo a nie celoštátne.",4,Minimálbér,"Az Uniónak szorgalmaznia kellene, hogy minden tagállamban az átlagfizetéshez kötött minimálbért vezessenek be.","Az átlagos minimálbér az EU tagállamaiban körülbelül az átlagbér 40 százaléknak felel meg. Arányaiban a legalacsonyabb Csehországban (32%), a legmagasabb pedig Szlovéniában és Görögországban (50%) - Magyarországon 44%-os a minimálbér átlagbérhez viszonyított aránya."
3,Legislatívna iniciatíva,Európsky parlament by mal mať právomoc iniciovať zákon bez nutnosti oslovenia Európskej komisie.,"Európsky parlament na rozdiel od národného parlamentu nemôže predkladať sám nové zákony, len ich schvaľuje. Podľa zástancov posilňovania právomocí, Európsky parlament prispieva k posilňovaniu európskej demokracie a mal by mať väčšie právomoci. Kritici sa však obávajú, že národné parlamenty stratia časť svojich právomocí.",,Jogalkotás,"Az Európai Parlament kezdeményezhessen önállóan is jogszabályt, az Európai Bizottság nélkül.","Az Európai Parlament - szemben a nemzeti parlamentekkel - nem nyújthat be törvényjavaslatot az Európai Bizottság jóváhagyása nélkül. A javaslat támogatói szerint ennek megszüntetése az európai demokrácia fejlesztéséhez járulna hozzá, míg ellenzői a nemzeti szuverenitást, a nemzeti parlamentek önállóságát féltik."
4,Emisie CO2,EÚ by mala vymedziť striktnejšie ciele k regulácií CO2.,"V EÚ sú zavedené emisné kvóty pre energetické firmy, pomocou ktorých sa limitujú emisie skleníkového plynu CO2 (oxidu uhličitého), čo má zmierniť klimatické problémy. Niektorí ich kritizujú ako nedostatočné, kritici naopak upozorňujú, že takéto regulácie vedú k zvýšeniu cien energií.",7,CO2 kibocsátás,Az EU-nak szigorúbb széndioxid-plafonokat kellene bevezetni a kibocsájtás csökkentése érdekében.,"Az Európai Unióban érvényes szabályok a széndioxid-kibocsájtás mértékét szabályozzák a klímaváltozás visszaszorítása érdekében. Egyesek szerint további szigorításokra van szükség, mások szerint a hasonló szabályok növelik az energiaárakat."
5,Zákaz dotácií jadrovej energetiky,Štáty EÚ by mali mať zakázané dotovať jadrovú energetiku.,"Zástancovia jadrovej energetiky poukazujú na vysokú efektivitu pri spaľovaní paliva a na veľmi nízke emisie CO2 oproti inej, napr. uhoľnej či plynovej energii. Kritici upozorňujú, že jadrová energia nie je finančne konkurencieschopná a predstavuje bezpečnostné riziko.",11,Az atomenergia támogatásának letiltása,Az EU tagállamainak meg kellene tiltani az atomenergia állami támogatását.,Az atomenergia támogatói a fűtőanyag-felhasználás hatékonyságával és (például a szén- vagy gázfűtésű erőművekkel szemben) az alacsony CO2-kibocsájtással érvelnek. Az ellenzők szerint az atomenergia használata nem kifizetődő és magas kockázattal jár.
6,Geneticky upravené plodiny,Malo by byť povolené pestovať geneticky upravené plodiny v celej EÚ.,"Zástancovia pestovania geneticky upravených plodín argumentujú, že tieto plodiny zvyšujú výnos,sú odolnejšie voči škodcom a nie je nutné ich toľko chemicky ošetrovať. Odporcovia sa obávajú zdravotných rizík, dopadu na životné prostredie a závislosti na producentoch takýchto plodín.",27,Genetikailag módosított haszonnövények,A génmódosított növények termesztését engedélyezni kellene az EU tagállamaiban.,"Az EU jelenleg szigorúan korlátozza a génmódosított növények termesztését. A GMO-növények természtésének támogatói szerint az ilyen növények ellenállóbbak a különböző betegségekkel szemben, ezért nem igényelnek vegyi kezelést. A GMO ellenzői a lehetséges egészségügyi kockázatok és környezeti károk miatt aggódnak."
7,Dovozné clá,Dovozné clá na poľnohospodárske produkty z rozvojových krajín by mali byť znížené.,"Zástancovia dovozných ciel argumentujú ochranou a podporou ekonomík členských štátov voči ostatným, aby nedošlo k zaplaveniu európskeho trhu lacnými poľnohospodárskymi výrobkami z rozvojových krajín. Kritici upozorňujú, že clá limitujú rozvoj krajín, ktorých významným obchodným artiklom sú práve poľnohospodárske produkty, a tiež, že dražejú potraviny pre zákazníkov v EÚ.",,Behozatali vám,A fejlődő országokból származó mezőgazdasági termékekre kivetett vámokat csökkenteni kellene Európában.,"A különböző vámok és importadók támogatói szerint az ilyen típusú adók megvédik az uniós tagállamok gazdaságát és piacát a fejlődő országok olcsó mezőgazdasági termékeitől. Ellenzői szerint a különböző vámok korlátozzák az elmaradottabb országok fejlődését, hiszen a fejletlenebb országok legfőbb kiviteli cikkei éppen a mezőgazdasági termékek - ráadásul az importadók növelhetik az élelmiszerek árát is."
8,Priama voľba predsedu Európskej komisie,Predseda Európskej komisie by mal byť volený v priamých voľbách občanmi EÚ.,"Priama voľba predsedu komisie by podľa zástancov mala zvýšiť úroveň demokracie v EÚ a zvýšiť záujem občanov o EÚ. Jej kritici argumentujú, že priama voľba neprináša žiadne riešenie súčasných problémov, ani nezvyšuje dôveryhodnosť EÚ.",,Az Európai Bizottság elnökének megválasztása,Az Európai Bizottság elnökét közvetlenül kellene megválasztani.,"Az Európai Bizottság elnökének közvetlen megválasztását támogatók növelnék az uniós intézmények legitimációt. Az ellenzők azzal érvelnek, hogy ez nem old meg semmilyen valós problémát, és nem erősítené az unióba vetett bizalmat."
9,Minimálna sadzba  korporátnej dane,Mala by byť zavedená minimálna sadzba pre dane z príjmov u firiem v celej EÚ.,"Daň z príjmov je v krajinách EÚ medzi 10% až 35%. Zástancovia minimálnej sadzby kritizujú existenciu daňových rajov vo vnútri EÚ (napríklad Cyprus), kde môžu firmy platiť dane namiesto platenia daní v krajine, kde zisk reálne vytvorili. Odporcovia upozorňujú na zdravú súťaživosť medzi jednotlivými krajinami.",8,Társasági adó minimum,Be kellene vezetni egy minden tagállamra kötelező társaságiadó-minimumot az Európai Unióban.,"A társasági adó szintje az unión belül 10-35 % között mozog. Az EU-ban egységesen bevezetendő, minimális mértékű társasági adó támogatói szerint a különbségek az EU-n belüli adóparadicsomok kialakulásához vezetek (pl. Ciprus), és a cégek az adókat nem abban az országban fizetik meg, ahol valójában profitot termelnek. Az ellenzők szerint az adópolitika az országok közötti egészséges verseny része."
10,Nižšia finančná pomoc regiónom,Mala by sa znížiť finančná pomoc ekonomicky slabším regiónom EÚ.,"Zhruba 1/3 rozpočtu EÚ ide na regionálnu politiku. Hlavným cieľom je podpora ekonomicky slabších regiónov EÚ, medzi ktoré sa radí celé Slovensko okrem Bratislavy.",28,Belső támogatások,Az uniónak kevesebb támogatást kellene adnia a szegényebb tagállamok számára.,Az EU költségvetésének majdnem egyharmada megy el a régiók támogatására. Ennek fő célja a gazdaságilag fejletlenebb térségek támogatása az EU-n belül. A budapesti régiót kivéve egész Magyarország ide tartozik.
11,Zastavenie zozširovania EÚ,EÚ by mala zastaviť prijímanie ďalších krajín.,"V súčasnej dobe sú oficiálnymi kandidátmi na členstvo Čierna Hora, Island, Macedónsko, Srbsko a Turecko.",29,EU bővítés,Nem szabadna újabb tagállamokat felvenni az Európai Unióba.,"Jelenleg hivatalosan Montenegró, Izland, Macedónia, Szerbia és Törökország jelölt az EU-tagságra."
12,Daň z finančných transakcií,"EÚ by mala zaviesť daň z finančných transakcií (""tzv. Tobinovu daň"")","Podľa zástancov by daň z finančných transakcií (tzv. ""Tobinova daň"", približne 0.01% - 0.1%) mala zabráňovať finančným špekuláciám. Kritici argumentujú, že takéto opatrenie by muselo byť zavedené celosvetovo, inak by viedlo k veľkému presunu firiem za hranice EÚ.",13,Pénzügyi tranzakciós adó,Szükség van pénzügyi tranzakciós adóra az EU-ban.,"A pénzügyi tranzakciós adó (kb. 0,01-0,1 %) a támogatói szerint egy ilyen adónem képes lehet megelőzni a pénzügyi spekulációkat. Az ellenzők azzal érvelnek, hogy ez a módszer csak világszerte alkalmazva lehet sikeres, és az unión belüli bevezetéssel csak azt érjük el, hogy megnövekszik a cégek EU-n kívüli tranzakciók száma."
13,Európska armáda,EÚ by mala mať vlastnú armádu.,"V súčasnej dobe EÚ nemá, okrem výnimiek ako bojové skupiny, vlastnú armádu. Podľa zástancov by existencia spoločnej armády zvýšila postavenie EÚ na medzinárodnej scéne a prispela k riešeniu konfliktov. Podľa kritikov by obrana mala ostať iba v rukách členských štátov.",18,Európai hadsereg,Közös európai hadsereg felállítására van szükség.,"Jelenleg az EU nem rendelkezik saját hadsereggel, csak harccsoportokkal. A közös hadsereg létrehozásának támogató szerint a hadsereg erősítené az EU helyzetét nemzetközi szinten, és hozzájárulhatna a konfliktusok feloldásához. Az ellenzők úgy látják, a honvédelem az egyes tagországok feladata."
14,Odvolateľnosť komisárov,Európsky parlament by mal mať možnosť odvolať jednotlivých európskych komisárov.,"Komisári sú do svojej funkcie navrhovaní členskými štátmi. Komisia (""európska vláda"") ako celok je schválená Európskym parlamentom. Jediný spôsob, akým môže byť celá komisia odvolaná, je vyhlásenie nedôvery Európskym parlamentom s dvoma tretinami hlasov jeho poslancov. Odvolať jednotlivých komisárov parlament nemôže.",,EU biztosok felmentése,"Az Európai Parlamentnek meg kellene adni a jogot, hogy uniós biztosokat felmenthessen a hivatalából.","Az Európai Bizottság tagjait a tagállamok kormányai nevezik ki. Az Európai Bizottságot kinevezését pedig az Európai Parlament hagyja jóvá. A Bizottság tagjait kizárólag az Európai Parlament bizalmatlansági indítványa alapján lehet visszahívni, míg egyes képviselőkkel ugyanezt nem lehet megtenni."
15,Zahraničná politika EÚ,Viac oblastí zahraničnej politiky by malo byť rozhodovaných na úrovni EÚ.,EÚ si dala možnosť vykonávať spoločnú zahraničnú a bezpečnostnú politiku ale táto možnosť sa využíva iba obmedzene. Pre členské štáty sú ciele síce záväzné ale európske právo nemá žiadne sankcie za ich porušenie.,20,Közös külpolitika,"Még több külpolitikai kérdésben kellene dönteni közösségi, és nem tagállami szinten.","Az EU közössségi szinten meghatározott kül- és biztonságpolitikájának céljai elvben kötelezőek a tagállamok részére, de az európai jogszabályok nem rendelkeznek semmilyen szankcióval e kötelezettség megsértése esetén."
16,Rozvojová pomoc EÚ,EÚ by mala zvýšiť prostriedky na zahraničnú pomoc.,"EÚ je najväčším svetovým poskytovateľom rozvojovej pomoci. Podľa zástancov rozvojová pomoc pomáha v cieľových krajinách a zabraňuje tak okrem iného populačnej explózii a znižuje emigráciu do bohatších krajín, napr krajín EÚ. Podľa odporcov je podstatná časť rozkradnutá vládnymi vrstvami a zločineckými štruktúrami a nedostane sa tak k tým, ktorým je určená.",14,Uniós segélyezés,Az EU-nak több forrást kellene biztosítania a nemzetközi fejlesztésre és segélyezésre.,"Az EU komoly fejlesztési segélyt biztosít szegényebb, az EU-n kívüli országok számára. Az intézmény támogatói szerint a segélyek segítik a célországokat, megelőzik a gyors népességnövekedést (baby boom), és visszaszorítják a kivándorlást a fejlettebb országokba, például az EU tagállamaiba. Az ellenzők szerint a segélyek nagy részét a kormányok és bűnözői csoportok eltulajdonítják, így a segélycsomagok nem jutnak el azokhoz, akiknek valóban szükségük van rájuk."
17,Spoločné európske dlhopisy,Mali by byť zavedené spoločné európske dlhopisy pre krajiny eurozóny.,"Prostredníctvom spoločných európskych dlhopisov (eurobondov) by investori požičiavali financie eurozóne ako celku. Eurobondy majú pomôcť riešiť dlhovú krízu znížením nákladov úverov pre krajiny ako Grécko alebo Portugalsko, čo by pomohlo im aj celej eurozóne. Kritici upozorňujú na morálny hazard, jednotlivé krajiny by niesli nižšie riziko a mohli sa správať nezodpovedne.",9,Eurokötvény,"Be kellene vezetni az eurókötvényt, amely révén az eurózóna országai közösen kezeskedhetnek egy tagállam által felvett kölcsönért.","Az eurókötvény-hálózat segítségével a befektetők hiteleket adhatnak az eurózóna területén. Az eurókötvény segíthet kilábalni a válságból a hitelek költségeinek csökkentésével olyan országoknak, mint pl. Görögország vagy Portugália. Az ellenzők rámutatnak az erkölcsi kockázatra, hogy a tagállamok az alacsonyabb kockázatok miatt felelőtlenül viselkedhetnek."
18,Sobáše osôb rovnakého pohlavia,"Členské štáty musia uznať sobáše osôb ronakého pohlavia, ktoré sú uzavreté v inej členskej krajine EÚ.","Európsky súd pre ľudské práva v roku 2010 rozhodol, že registrované partnerstvo nie je ľudským právom a zmluvné štáty nie sú povinné ho umožňovať uzavrieť a uznávať. Zástancovia požadujú rovnaké práva pre homosexuálne dvojice v celej EÚ. Odporcovia odmietajú uznať registrované partnerstvo napr. z náboženských dôvodov.",21,Azonos neműek házassága,A tagállamoknak el kell ismerniük a más országban kötött házasságot azonos nemű párok esetében is.,"Az Emberi jogok Európai Bírósága 2010-es döntése alapján az azonos neműek közötti házasságkötés nem tartozik az elidegeníthetetlen emberi jogok közé, így a tagállamokat nem kényszerítik ennek engedélyezésére vagy elismerésére. A támogatók a homoszexuális pároknak is ugyanezen egyenlő jogokat követelnek. Az ellenzők nem ismerik el az azonos neműek közötti házasságkötést - például vallási okok miatt."
19,Azylové zákony,Podmienky pre udelenie azylu by mali byť rovnaké vo všetkých členských štátoch EÚ.,"Podľa zástancov by zjednotenie podmienok pre udelenie azylu zamedzilo ""prelievanie"" ľudí, hľadajúcich azyl, z jednej krajiny EÚ do inej. Odporcovia naopak argumentujú, že situácia sa v jednotlivých štátoch líši, preto by regulácia udeľovania azylu mala zostať na národnej úrovni.",22,Menekültügy,A menekültekkel kapcsolatos szabályozás legyen azonos minden európai országban.,"Támogatói szerint a menedékjogot kérelmezők elhelyezésének közösségi szintre emelése segítene a menekülteknek és megelőzhetné, hogy egyik EU tagállamból a másikba vándoroljanak. Az ellenzők véleménye az, hogy minden ország helyzete különbözik ebben a tekintetben, így a szabályozását az országoknak kell megoldaniuk."
20,Európske dane,"EÚ by mala vyberať európske dane, ktoré by nahradili existujúce príspevky členských štátov.",V súčasnosti väčšina príjmov EÚ pochádza z príspevkov jednotlivých krajín na základe výšky ich hrubého národného produktu. Zavedením európskej dane by sa zvýšila nezávislosť rozpočtu EÚ na členských krajinách.,24,Európai adók,"Az Európai Uniónak adókivetési jogot kellene adni, hogy ezzel helyettesíthesse a tagállami hozzájárulásokat a közös költségvetéshez.",Jelenleg az EU bevételeinek döntő része a tagállamok GDP-arányos hozzájárulásaiból származik. A közös európai adózás bevezetése az EU költségvetését függetlenítené a tagállamoktól.
21,,,,,Kilépés az EU-ból,Szlovákiának ki kéne lépnie az EU-ból.,
22,Federalizácia EÚ,EÚ by sa mala stať federáciou.,"Štátna moc je vo federácii rozložená medzi federálne orgány a orgány členských krajín, čo je zaistené ústavou. Federáciou sú napr USA, Rusko, Brazília alebo India. Naopak ale arabské alebo latinsko-americkej krajiny sú samostatné, aj napriek tomu že sa tam hovorí jedným jazykom.",30,Az EU föderalizációja,Az EU-nak föderációvá kellene válnia.,"A föderációban a közös alkotmány rendelkezései szerint az államok feladatai, illetve a jogszabályok alkotása megoszlik föderációs és helyi szint között. Oroszország, az USA, Brazilia föderális alapon működnek, míg más országok szövetségei lazább kötődést jelentenek a tagállamok számára (pl. Latin-amerika, arab országok)."
23,Komisie podľa volieb,Zloženie Európskej komisie by malo zodpovedať výsledkom eurovolieb.,"Do Európskej komisie (""európskej vlády"") jej komisára teraz nominujú vlády členských krajín EÚ. Komisia teda nezodpovedá výsledkom eurovolieb, napr je v nej jeden nutne jeden komisár z každej krajiny (z najväčšieho Nemecka aj z najmenšej Malty).",2,Bizottság összetétéle függjön a választások eredményétől,Az Európai Bizottság összetételének összhangban kellene lennie az európai választások eredményeivel.,"Az EU Bizottság biztosait a tagállamok kormányai jelölik, a jelöltek száma nem függ az EU-s választások eredményétől. Így plédául Németország és Málta is csupán egy biztost küld a Bizottságba."
24,Európske referendum,Mala by byť možnosť vypísania celoeurópskeho referenda na základe petície.,"Slovenský občan môže vyvolať referendum na miestnej, krajskej a celoštátnej úrovni, ale nie na celoeurópskej. Podľa zástancov by zavedenie európskeho referenda zvýšilo možnosť občanov rozhodovať, podľa odporcov by bolo nákladné a mohlo by viesť k prijímaniu populistických opatrení.",10,Európai népszavazás,Meg kell teremteni az EU-s népszavazásnak a lehetőségét,"Szlovák állampolgárok hely, regionális és országos szinten kezdeményezhetnek népszavazást, EU-s szinten azonban nincs erre lehetőségük. A kezdeményezés támogatói szerint ezzel erősebben érvényesülnének az EU-ban a demokratikus jogok, míg ellenzői szerint inkább a populisták térnyerését szolgálná."
25,Zrušenie letného času,Letný čas by mal byť zrušený.,"Letný čas sa používa, pretože mnoho aktivít v spoločnosti sa riadi hodinami a nemení sa v priebehu roka (školy, zamestnania), hoci čas denného svetla sa mení. Pôvodne bol zavedený s cieľom šetriť energiu, hoci teraz je už tento efekt minimálny. Letný čas je zavádzaný po celej Európe, prvýkrát na svete v Rakúsko-Uhorsku v roku 1916.",,Nyári időszámítás megszüntetése,A nyári időszámítást be kéne szüntetni.,
