vote_event_id,voter_id,option
6,8,abstain
1,8,abstain
24,8,no
9,8,yes
7,8,no
27,8,yes
23,8,yes
11,8,no
13,8,yes
12,8,no
22,8,yes
2,8,yes
26,8,no
16,8,yes
30,8,no
31,8,yes
17,8,no
3,8,abstain
18,8,no
29,8,yes
25,8,no
4,8,yes
32,8,abstain
5,8,yes
21,8,yes
15,8,no
28,8,yes
19,8,yes
10,8,no
14,8,no
20,8,yes
8,8,yes
6,8,abstain
1,8,yes
24,8,no
9,8,yes
7,8,abstain
27,8,yes
23,8,yes
11,8,abstain
13,8,yes
12,8,no
22,8,no
2,8,yes
26,8,no
16,8,no
30,8,no
31,8,yes
17,8,no
3,8,abstain
18,8,no
29,8,no
25,8,abstain
4,8,no
32,8,no
5,8,yes
21,8,abstain
15,8,yes
28,8,no
19,8,no
10,8,yes
14,8,no
20,8,yes
8,8,yes
6,8,no
1,8,yes
24,8,no
9,8,yes
7,8,no
27,8,yes
23,8,yes
11,8,no
13,8,yes
12,8,no
22,8,yes
2,8,yes
26,8,no
16,8,no
30,8,yes
31,8,yes
17,8,no
3,8,yes
18,8,yes
29,8,no
25,8,yes
4,8,yes
32,8,no
5,8,yes
21,8,yes
15,8,yes
28,8,no
19,8,yes
10,8,no
14,8,yes
20,8,yes
8,8,yes
6,8,no
1,8,yes
24,8,no
9,8,yes
7,8,no
27,8,no
23,8,yes
11,8,yes
13,8,yes
12,8,no
22,8,abstain
2,8,yes
26,8,no
16,8,no
30,8,no
31,8,yes
17,8,no
3,8,yes
18,8,yes
29,8,abstain
25,8,abstain
4,8,yes
32,8,abstain
5,8,yes
21,8,yes
15,8,yes
28,8,yes
19,8,yes
10,8,no
14,8,no
20,8,yes
8,8,yes
6,8,no
1,8,yes
24,8,no
9,8,yes
7,8,yes
27,8,yes
23,8,abstain
11,8,yes
13,8,yes
12,8,no
22,8,abstain
2,8,yes
26,8,no
16,8,abstain
30,8,abstain
31,8,yes
17,8,abstain
3,8,no
18,8,no
29,8,yes
25,8,no
4,8,abstain
32,8,no
5,8,yes
21,8,yes
15,8,yes
28,8,no
19,8,yes
10,8,no
14,8,no
20,8,yes
8,8,yes
6,8,no
1,8,yes
24,8,no
9,8,yes
7,8,yes
27,8,yes
23,8,yes
11,8,yes
13,8,yes
12,8,no
22,8,no
2,8,no
26,8,no
16,8,no
30,8,no
31,8,yes
17,8,yes
3,8,yes
18,8,no
29,8,no
25,8,no
4,8,yes
32,8,no
5,8,yes
21,8,yes
15,8,yes
28,8,no
19,8,yes
10,8,yes
14,8,no
20,8,yes
8,8,yes
6,8,abstain
1,8,abstain
24,8,no
9,8,yes
7,8,no
27,8,abstain
23,8,no
11,8,no
13,8,abstain
12,8,no
22,8,abstain
2,8,no
26,8,no
16,8,no
30,8,yes
31,8,yes
17,8,abstain
3,8,abstain
18,8,abstain
29,8,no
25,8,abstain
4,8,abstain
32,8,no
5,8,abstain
21,8,no
15,8,yes
28,8,yes
19,8,yes
10,8,no
14,8,no
20,8,abstain
8,8,yes
6,8,no
1,8,yes
24,8,no
9,8,yes
7,8,no
27,8,no
23,8,no
11,8,no
13,8,yes
12,8,no
22,8,yes
2,8,yes
26,8,no
16,8,no
30,8,no
31,8,yes
17,8,no
3,8,abstain
18,8,no
29,8,no
25,8,no
4,8,yes
32,8,no
5,8,no
21,8,yes
15,8,no
28,8,no
19,8,yes
10,8,no
14,8,no
20,8,yes
8,8,yes
6,8,no
1,8,abstain
24,8,no
9,8,no
7,8,no
27,8,no
23,8,yes
11,8,no
13,8,no
12,8,no
22,8,yes
2,8,yes
26,8,no
16,8,abstain
30,8,no
31,8,yes
17,8,no
3,8,abstain
18,8,no
29,8,no
25,8,yes
4,8,abstain
32,8,no
5,8,no
21,8,yes
15,8,no
28,8,yes
19,8,no
10,8,yes
14,8,no
20,8,yes
8,8,yes
