vote_event_id,voter_id,option
16,1,abstain
23,1,no
31,1,yes
13,1,yes
34,1,abstain
11,1,yes
4,1,no
17,1,yes
14,1,yes
6,1,no
3,1,yes
18,1,abstain
37,1,no
28,1,no
1,1,no
22,1,abstain
5,1,no
36,1,no
10,1,yes
33,1,yes
32,1,yes
7,1,no
35,1,yes
12,1,no
15,1,no
20,1,no
24,1,abstain
29,1,yes
9,1,no
19,1,yes
2,1,no
30,1,yes
25,1,no
8,1,yes
26,1,yes
21,1,yes
27,1,yes
16,2,yes
23,2,yes
31,2,yes
13,2,yes
34,2,yes
11,2,no
4,2,no
17,2,yes
14,2,yes
6,2,abstain
3,2,no
18,2,no
37,2,yes
28,2,abstain
1,2,yes
22,2,no
5,2,no
36,2,yes
10,2,abstain
33,2,yes
32,2,no
7,2,yes
35,2,yes
12,2,yes
15,2,yes
20,2,no
24,2,yes
29,2,no
9,2,yes
19,2,yes
2,2,yes
30,2,yes
25,2,yes
8,2,abstain
26,2,yes
21,2,yes
27,2,yes
16,3,yes
23,3,no
31,3,no
13,3,no
34,3,yes
11,3,yes
4,3,no
17,3,yes
14,3,yes
6,3,yes
3,3,no
18,3,no
37,3,yes
28,3,no
1,3,yes
22,3,no
5,3,no
36,3,yes
10,3,no
33,3,no
32,3,no
7,3,abstain
35,3,yes
12,3,yes
15,3,yes
20,3,no
24,3,yes
29,3,yes
9,3,yes
19,3,abstain
2,3,no
30,3,no
25,3,yes
8,3,no
26,3,yes
21,3,yes
27,3,yes
16,4,yes
23,4,no
31,4,yes
13,4,yes
34,4,yes
11,4,no
4,4,no
17,4,no
14,4,no
6,4,no
3,4,no
18,4,no
37,4,no
28,4,no
1,4,yes
22,4,no
5,4,no
36,4,no
10,4,yes
33,4,no
32,4,no
7,4,abstain
35,4,yes
12,4,no
15,4,yes
20,4,no
24,4,yes
29,4,no
9,4,yes
19,4,abstain
2,4,no
30,4,no
25,4,yes
8,4,abstain
26,4,abstain
21,4,yes
27,4,no
16,5,yes
23,5,no
31,5,yes
13,5,no
34,5,yes
11,5,no
4,5,no
17,5,yes
14,5,yes
6,5,yes
3,5,no
18,5,no
37,5,no
28,5,no
1,5,no
22,5,no
5,5,no
36,5,yes
10,5,no
33,5,yes
32,5,no
7,5,no
35,5,yes
12,5,yes
15,5,no
20,5,no
24,5,yes
29,5,no
9,5,yes
19,5,no
2,5,yes
30,5,yes
25,5,yes
8,5,no
26,5,yes
21,5,yes
27,5,yes
16,6,abstain
23,6,no
31,6,yes
13,6,abstain
34,6,abstain
11,6,no
4,6,no
17,6,no
14,6,yes
6,6,no
3,6,no
18,6,no
37,6,no
28,6,no
1,6,no
22,6,no
5,6,no
36,6,abstain
10,6,yes
33,6,no
32,6,abstain
7,6,no
35,6,yes
12,6,abstain
15,6,yes
20,6,no
24,6,yes
29,6,no
9,6,yes
19,6,yes
2,6,yes
30,6,yes
25,6,abstain
8,6,no
26,6,yes
21,6,yes
27,6,abstain
16,7,yes
23,7,yes
31,7,no
13,7,no
34,7,yes
11,7,no
4,7,no
17,7,yes
14,7,yes
6,7,yes
3,7,no
18,7,no
37,7,no
28,7,no
1,7,no
22,7,no
5,7,no
36,7,no
10,7,yes
33,7,no
32,7,yes
7,7,yes
35,7,no
12,7,no
15,7,no
20,7,no
24,7,yes
29,7,no
9,7,yes
19,7,yes
2,7,yes
30,7,yes
25,7,yes
8,7,no
26,7,yes
21,7,no
27,7,no
16,8,yes
23,8,no
31,8,no
13,8,abstain
34,8,yes
11,8,no
4,8,no
17,8,yes
14,8,yes
6,8,yes
3,8,no
18,8,no
37,8,yes
28,8,no
1,8,no
22,8,no
5,8,no
36,8,yes
10,8,yes
33,8,no
32,8,yes
7,8,no
35,8,yes
12,8,no
15,8,yes
20,8,no
24,8,yes
29,8,yes
9,8,yes
19,8,no
2,8,yes
30,8,yes
25,8,yes
8,8,no
26,8,yes
21,8,no
27,8,no
16,9,yes
23,9,no
31,9,no
13,9,abstain
34,9,yes
11,9,yes
4,9,abstain
17,9,yes
14,9,abstain
6,9,yes
3,9,abstain
18,9,abstain
37,9,no
28,9,no
1,9,yes
22,9,no
5,9,abstain
36,9,abstain
10,9,yes
33,9,no
32,9,yes
7,9,abstain
35,9,yes
12,9,no
15,9,yes
20,9,yes
24,9,abstain
29,9,no
9,9,yes
19,9,yes
2,9,no
30,9,no
25,9,yes
8,9,no
26,9,yes
21,9,yes
27,9,yes
16,10,yes
23,10,no
31,10,yes
13,10,abstain
34,10,yes
11,10,no
4,10,no
17,10,yes
14,10,no
6,10,yes
3,10,no
18,10,no
37,10,no
28,10,abstain
1,10,yes
22,10,no
5,10,no
36,10,yes
10,10,no
33,10,yes
32,10,yes
7,10,no
35,10,yes
12,10,yes
15,10,yes
20,10,no
24,10,yes
29,10,no
9,10,yes
19,10,yes
2,10,abstain
30,10,yes
25,10,yes
8,10,yes
26,10,yes
21,10,yes
27,10,yes
